epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1636,1.80928,2.11284,1.54187,0.09164,0.10701,0.05595,0.02199,2.36051,9.44883,2.45248,0.000554088,0.000554088,0.000554088
2,161.709,1.93743,2.07699,1.62904,0.16953,0.1457,0.08947,0.03897,2.27146,3.61382,2.16445,0.00108778,0.00108778,0.00108778
3,244.408,1.85439,2.00308,1.5852,0.05375,0.20831,0.03315,0.01537,2.25369,29.3146,2.25053,0.00159947,0.00159947,0.00159947
4,320.451,1.81685,1.91766,1.55501,0.33512,0.33081,0.27875,0.13736,1.76853,2.1085,1.79592,0.00156798,0.00156798,0.00156798
5,397.932,1.70284,1.77955,1.48858,0.37692,0.37779,0.3148,0.16704,1.70491,2.10852,1.75568,0.00153497,0.00153497,0.00153497
6,477.216,1.62466,1.68839,1.44132,0.41606,0.41465,0.37017,0.20568,1.61998,1.93929,1.67819,0.00150197,0.00150197,0.00150197
7,655.003,1.55406,1.56154,1.4046,0.44115,0.34743,0.37373,0.20606,1.66497,1.86433,1.70307,0.00146896,0.00146896,0.00146896
8,865.739,1.54328,1.51787,1.38602,0.44999,0.4127,0.40954,0.2215,1.6122,1.78262,1.69422,0.00143595,0.00143595,0.00143595
9,942.756,1.49451,1.4692,1.37306,0.56095,0.41026,0.43666,0.26148,1.46638,1.7393,1.57787,0.00140295,0.00140295,0.00140295
10,1019.33,1.44638,1.40374,1.34818,0.511,0.45093,0.47337,0.28718,1.44203,1.69691,1.56205,0.00136994,0.00136994,0.00136994
11,1097.65,1.40289,1.34889,1.32715,0.47944,0.41381,0.4407,0.25713,1.52142,1.76322,1.59045,0.00133693,0.00133693,0.00133693
12,1177.76,1.35481,1.27028,1.29378,0.59158,0.47102,0.52824,0.32201,1.40682,1.57757,1.53839,0.00130393,0.00130393,0.00130393
13,1260.07,1.34779,1.25514,1.29302,0.63384,0.48726,0.55434,0.34287,1.34333,1.53738,1.51109,0.00127092,0.00127092,0.00127092
14,1341.81,1.31972,1.20586,1.26866,0.64652,0.49525,0.57666,0.35508,1.37527,1.49209,1.51379,0.00123791,0.00123791,0.00123791
15,1415.54,1.3079,1.14715,1.2629,0.66354,0.49636,0.59568,0.36952,1.35562,1.45826,1.48123,0.00120491,0.00120491,0.00120491
16,1489.79,1.26718,1.11699,1.24658,0.56425,0.51866,0.54046,0.32911,1.42198,1.58246,1.52966,0.0011719,0.0011719,0.0011719
17,1555.71,1.23282,1.06474,1.22063,0.60658,0.52226,0.58898,0.37171,1.37419,1.39327,1.48919,0.00113889,0.00113889,0.00113889
18,1625.4,1.24671,1.0571,1.21755,0.66663,0.56899,0.64274,0.41184,1.27761,1.28652,1.42885,0.00110589,0.00110589,0.00110589
19,1694.88,1.21526,1.05855,1.20558,0.65327,0.55676,0.63712,0.40414,1.28865,1.31303,1.4321,0.00107288,0.00107288,0.00107288
20,1765.74,1.18853,1.02814,1.19301,0.70539,0.57947,0.65433,0.43311,1.23145,1.23179,1.40296,0.00103987,0.00103987,0.00103987
21,1839.4,1.18279,0.97196,1.1977,0.76203,0.53759,0.65139,0.42691,1.22793,1.24289,1.39872,0.00100687,0.00100687,0.00100687
22,1915,1.16608,0.98929,1.18797,0.67474,0.58696,0.66997,0.44124,1.21007,1.208,1.38989,0.000973861,0.000973861,0.000973861
23,1984.92,1.14407,0.93363,1.17476,0.66532,0.58691,0.65118,0.41935,1.25778,1.2462,1.43143,0.000940855,0.000940855,0.000940855
24,2054.1,1.15354,0.9193,1.17795,0.69522,0.57573,0.66074,0.42348,1.29679,1.2777,1.41995,0.000907848,0.000907848,0.000907848
25,2124.04,1.12081,0.89659,1.14631,0.76929,0.58164,0.69123,0.46608,1.17588,1.15594,1.36728,0.000874842,0.000874842,0.000874842
26,2193.16,1.09497,0.875,1.16128,0.7149,0.57342,0.67887,0.44331,1.21304,1.21475,1.3627,0.000841835,0.000841835,0.000841835
27,2261.42,1.09589,0.87258,1.14249,0.67816,0.63867,0.71196,0.47391,1.17531,1.1217,1.36283,0.000808828,0.000808828,0.000808828
28,2319.95,1.07695,0.84696,1.13052,0.70899,0.66685,0.72707,0.48697,1.15336,1.10893,1.34852,0.000775822,0.000775822,0.000775822
29,2378.78,1.06988,0.82602,1.13651,0.77836,0.60135,0.72253,0.49627,1.14387,1.095,1.34984,0.000742815,0.000742815,0.000742815
30,2438.5,1.04967,0.79595,1.12694,0.76999,0.59163,0.70851,0.48718,1.16024,1.11878,1.36086,0.000709809,0.000709809,0.000709809
31,2498.16,1.03889,0.79295,1.12271,0.74679,0.61977,0.7293,0.49539,1.12593,1.08246,1.33633,0.000676802,0.000676802,0.000676802
32,2573.99,1.03561,0.77633,1.12084,0.79355,0.64484,0.74643,0.51716,1.12504,1.0528,1.33282,0.000643795,0.000643795,0.000643795
33,2651.21,1.01689,0.76237,1.114,0.75654,0.65719,0.75049,0.522,1.12722,1.05761,1.33597,0.000610789,0.000610789,0.000610789
34,2725.95,1.00322,0.7732,1.10717,0.7306,0.66364,0.74473,0.52072,1.11141,1.03384,1.31595,0.000577782,0.000577782,0.000577782
35,2799.57,0.99001,0.74214,1.10305,0.77253,0.68278,0.76561,0.5386,1.10749,1.00773,1.33732,0.000544776,0.000544776,0.000544776
36,2864.14,0.97388,0.73419,1.09682,0.74337,0.69011,0.75953,0.53071,1.10868,1.01745,1.33211,0.000511769,0.000511769,0.000511769
37,2933.5,0.96285,0.69721,1.07855,0.75592,0.68189,0.76853,0.54781,1.05958,0.98756,1.30119,0.000478762,0.000478762,0.000478762
38,3003.85,0.94796,0.70203,1.07771,0.78304,0.67238,0.78016,0.56045,1.06487,0.9698,1.30158,0.000445756,0.000445756,0.000445756
39,3074.5,0.94209,0.69454,1.07687,0.82829,0.65427,0.77137,0.54599,1.07001,0.97414,1.29307,0.000412749,0.000412749,0.000412749
40,3145.73,0.9254,0.67804,1.07401,0.78202,0.67396,0.77282,0.54954,1.0665,0.97703,1.29835,0.000379743,0.000379743,0.000379743
41,3232.65,0.86185,0.61578,1.06426,0.78145,0.68168,0.77245,0.54501,1.07573,0.97856,1.30959,0.000346736,0.000346736,0.000346736
42,3302.68,0.85348,0.58976,1.05562,0.81628,0.65495,0.77351,0.55199,1.05706,0.98868,1.31285,0.000313729,0.000313729,0.000313729
43,3376.06,0.84241,0.56475,1.04409,0.77987,0.69957,0.78688,0.56086,1.0462,0.93335,1.2953,0.000280723,0.000280723,0.000280723
44,3450.68,0.81832,0.5529,1.03271,0.79191,0.68971,0.79733,0.57727,1.03576,0.91664,1.30122,0.000247716,0.000247716,0.000247716
45,3527.07,0.79585,0.5231,1.01715,0.81924,0.69331,0.80991,0.59364,1.01433,0.88593,1.28533,0.00021471,0.00021471,0.00021471
46,3613.31,0.78505,0.52114,1.02461,0.79585,0.73308,0.81384,0.58881,1.025,0.87492,1.27547,0.000181703,0.000181703,0.000181703
47,3684.35,0.78313,0.50388,1.01026,0.78965,0.73822,0.81971,0.60593,0.98819,0.84461,1.2667,0.000148696,0.000148696,0.000148696
48,3750.94,0.7621,0.48662,1.01421,0.82207,0.71155,0.82293,0.60157,1.00806,0.85833,1.27456,0.00011569,0.00011569,0.00011569
49,3821.55,0.74944,0.47673,0.99014,0.80524,0.7226,0.82143,0.60137,1.00704,0.86035,1.27531,8.26832e-05,8.26832e-05,8.26832e-05
50,3891.85,0.74959,0.48525,1.00153,0.78298,0.74298,0.82092,0.60247,0.99943,0.84326,1.27816,4.96766e-05,4.96766e-05,4.96766e-05
